concursantes
artista;pais;region;ciudad;sexo;edad;categoria;Ganador
Angy;España;Canarias;Palma;F;21;Cantante;1
Santiago Segura;España;Madrid;Madrid;M;46;Cine;0
Julio Iglesias, Jr.;España;Madrid;Madrid;M;38;Cantante;0
Sylvia Pantoja;España;Andalucía;Sevilla;F;42;Cantante;0
Toñi Salazar;España;Extremadura;Badajoz;F;48;Cantante;0
Josema Yuste;España;Madrid;Madrid;M;57;Humorista;0
Carolina Ferre;España;Valencia;Cocentaina;F;37;TV;0
Francisco;España;Valencia;Alcoy;M;52;Cantante;0
Roko;España;Andalucía;Jaén;F;23;Cantante;1
Daniel Diges;España;Madrid;Madrid;M;31;Cantante;0
Arturo Valls;España;Valencia;Valencia;M;37;TV;0
María del Monte;España;Andalucía;Sevilla;F;50;Cantante;0
Santiago Segura;España;Madrid;Madrid;M;47;Cine;0
Anna Simon;España;Cataluña;Barcelona;F;30;TV;0
Ángeles Muñoz;España;Madrid;Madrid;F;37;Cantante;0
Javier Herrero;España;Madrid;Madrid;M;52;Cantante;0
Edurne;España;Madrid;Madrid;F;28;Cantante;1
Melody;España;Andalucía;Dos Hermanas;F;23;Cantante;0
Xuso Jones;España;Murcia;Murcia;M;24;Cantante;0
Llum Barrera;España;Baleares;Alcudia;F;45;Humorista;0
Florentino Fernández;España;Madrid;Madrid;M;41;Humorista;0
Los Chunguitos;España;Extremadura;Badajoz;M;56;Cantante;0
Santi Rodríguez;España;Andalucía;Málaga;M;48;Humorista;0
José Manuel Soto;España;Andalucía;El Carpio;M;53;Cantante;0
Ángela Carrasco;Internacional;República Dominicana;Manzanillo;F;64;Cantante;0
Ruth Lorenzo;España;Murcia;Las Torres de Cotillas;F;37;Cantante;1
Edu Soto;España;Cataluña;Mataró;M;42;Humorista;0
Pablo Puyol;España;Andalucía;Málaga;M;44;Cine;0
Ana Morgade;España;Madrid;Madrid;F;40;Humorista;0
Adrián Rodríguez;España;Cataluña;Cornellá de Llobregat;M;31;Cantante;0
Falete;España;Andalucía;Sevilla;M;42;Cantante;0
Silvia Abril;España;Canarias;Mataró;F;49;Humorista;0
El Sevilla;España;Andalucía;San Juan de Aznalfarache;M;50;Cantante;0
Vicky Larraz;España;Madrid;Madrid;F;57;Cantante;0
Blas Cantó;España;Murcia;Ricote;M;25;Cantante;1
Rosa López;España;Andalucía;Peñuelas;F;36;Cantante;0
Lorena Gómez;España;Canarias;Lérida;F;30;Cantante;0
Beatriz Luengo;España;Madrid;Madrid;F;34;Cine;0
Canco Rodríguez;España;Andalucía;Málaga;M;39;Humorista;0
Esther Arroyo;España;Andalucía;Cádiz;F;48;TV;0
Juan Muñoz;España;Cataluña;Barcelona;M;51;Humorista;0
David Guapo;España;Cataluña;Barcelona;M;36;Humorista;0
Yolanda Ramos;España;Cataluña;Sabadell;F;47;Humorista;0
Miquel Fernández;España;Cataluña;Barcelona;M;37;Cine;1
Lucía Gil;España;Madrid;Madrid;F;19;Cantante;0
Fran Dieli;España;Andalucía;Granada;M;37;Cantante;0
Diana Navarro;España;Andalucía;Málaga;F;39;Cantante;0
Raúl Pérez;España;Madrid;Madrid;M;41;Humorista;0
Pepa Aniorte;España;Valencia;Orihuela;F;44;Cine;0
Lucía Jiménez;España;Castilla y León;Segovia;F;39;Cine;0
La Terremoto de Alcorcón;España;Madrid;Madrid;F;47;Cantante;0
David Amor;España;Galicia;Salceda de Caselas;M;37;Humorista;0
María Villalón;España;Andalucía;Ronda;F;29;Cantante;1
Carlos Baute;Internacional;Venezuela;Caracas;M;44;Cantante;0
Soraya Arnelas;España;Extremadura;Valencia de Alcántara;F;35;Cantante;0
Mimi Doblas;España;Andalucía;Huétor Tájar;F;26;Cantante;0
Jordi Coll;España;Cataluña;Mataró;M;32;Cine;0
Brays Efe;España;Canarias;Las Palmas;M;29;Cine;0
Anabel Alonso;España;Euskadi;Baracaldo;F;53;Humorista;0
Manu Sánchez;España;Andalucía;Dos Hermanas;M;32;Humorista;0
José Corbacho;España;Canarias;Hospitalet de Llobregat;M;52;Humorista;0
Belinda Washington;España;Madrid;Altrincham;F;56;TV;0
Cristina Ramos;España;Canarias;Las Palmas de Gran Canaria;F;42;Cantante;0
Gemeliers;España;Andalucía;Mairena del Aljarafe;M;21;Cantante;0
Jorge González;España;Madrid;Villarejo de Salvanés;M;31;Cantante;0
María Isabel;España;Andalucía;Ayamonte;F;25;Cantante;0
Mario Vaquerizo;España;Madrid;Madrid;M;45;Cantante;0
El Monaguillo;España;Andalucía;Marbella;M;46;Humorista;0
Nerea Rodríguez;España;Cataluña;Gavá;F;21;Cantante;0
Rocío Madrid;España;Andalucía;Málaga;F;41;TV;0
