temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5,titulo,autor,especiales,pais,region,ciudad,sexo,edad,categoria
1,1,"Born This Way, de Lady Gaga",Angy,12,12,10,12,0,Toñi,,56,0,Born This Way,Lady Gaga,,España,Canarias,Palma,F,21,Cantante
1,2,"Me gustas mucho, de Rocío Dúrcal",Angy,10,9,6,7,0,Sylvia,0.0,45,8,Me gustas mucho,Rocío Dúrcal,,España,Canarias,Palma,F,21,Cantante
1,3,Only Girl (In the World) de Rihanna,Angy,9,9,5,7,0,Julio,0.0,36,6,Only Girl (In the World),Rihanna,,España,Canarias,Palma,F,21,Cantante
1,4,Girls Just Want to Have Fun de Cyndi Lauper,Angy,12,9,10,10,0,Carolina,0.0,59,8,Girls Just Want to Have Fun,Cyndi Lauper,,España,Canarias,Palma,F,21,Cantante
1,5,Thriller de Michael Jackson,Angy,7,6,5,7,0,Toñi,0.0,42,12,Thriller,Michael Jackson,,España,Canarias,Palma,F,21,Cantante
1,6,Hero de Mariah Carey,Angy,6,6,8,6,0,Carolina,0.0,32,6,Hero,Mariah Carey,,España,Canarias,Palma,F,21,Cantante
1,7,Bulería de David Bisbal,Angy,10,9,7,10,0,Julio,0.0,48,12,Bulería,David Bisbal,,España,Canarias,Palma,F,21,Cantante
1,8,Left Outside Alone de Anastacia,Angy,6,7,6,12,0,Santiago,0.0,35,4,Left Outsi,Alone de Anastacia,,España,Canarias,Palma,F,21,Cantante
1,9,Don't Stop Me Now de Freddie Mercury (Queen),Angy,9,12,12,10,0,Sylvia,0.0,48,0,Don't Stop Me Now,Freddie Mercury (Queen),,España,Canarias,Palma,F,21,Cantante
1,1,"Pena, penita, pena, de Lola Flores",Toñi Salazar,10,10,12,10,0,Angy,,52,0,"Pena, penita, pena",Lola Flores,,España,Extremadura,Badajoz,F,48,Cantante
1,2,"La, la, la, de Massiel",Toñi Salazar,4,5,4,4,0,Sylvia,0.0,28,6,"La, la, la",Massiel,,España,Extremadura,Badajoz,F,48,Cantante
1,3,Soy gitano de Camarón de la Isla,Toñi Salazar,10,10,9,10,0,Francisco,0.0,58,9,Soy gitano,Camarón de la Isla,,España,Extremadura,Badajoz,F,48,Cantante
