temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5
1,1,"Born This Way, de Lady Gaga",Angy,12,12.0,10,12,0,Toñi,,56,0
1,1,"Pena, penita, pena, de Lola Flores",Toñi Salazar,10,10.0,12,10,0,Angy,,52,0
1,1,"Amante bandido, de Miguel Bosé",Josema Yuste,8,9.0,8,8,0,Julio,,38,0
1,1,"Vivir así es morir de amor, de Camilo Sesto",Francisco,7,8.0,9,7,0,Angy,,31,0
1,1,"With or Without You, de Bono (U2)","Julio Iglesias, Jr.",5,5.0,5,5,0,Sylvia,,30,0
1,1,"En el amor todo es empezar, de Raffaella Carrá",Carolina Ferre,9,6.0,7,6,0,Toñi,,28,0
1,1,"Ven a bailar, de Jennifer Lopez",Sylvia Pantoja,6,4.0,6,4,0,Josema,,25,0
1,1,"19 días y 500 noches, de Joaquín Sabina",Santiago Segura,4,7.0,4,9,0,Julio,,24,0
1,2,"Cabaret, de Liza Minnelli (Cabaret)",Sylvia Pantoja,12,10.0,10,12,0,Santiago,0.0,68,9
1,2,"Private Dancer, de Tina Turner","Julio Iglesias, Jr.",9,12.0,12,10,0,Santiago,0.0,60,12
1,2,"I Just Called to Say I Love You, de Stevie Wonder",Santiago Segura,7,8.0,7,9,0,Sylvia,0.0,51,10
1,2,"Me gustas mucho, de Rocío Dúrcal",Angy,10,9.0,6,7,0,Sylvia,0.0,45,8
1,2,"Nessun dorma, de Luciano Pavarotti",Francisco,8,6.0,9,6,0,Julio,0.0,36,7
1,2,"El chiringuito, El africano y La barbacoa, de Georgie Dann",Josema Yuste,6,7.0,8,8,0,Angy,0.0,34,5
1,2,"La, la, la, de Massiel",Toñi Salazar,4,5.0,4,4,0,Sylvia,0.0,28,6
1,2,"Like a Virgin, de Madonna",Carolina Ferre,5,4.0,5,5,0,Toñi,0.0,23,4
1,3,Como una ola  de Rocío Jurado,Francisco,6,6.0,7,9,0,Toñi,0.0,63,10
1,3,Soy gitano de Camarón de la Isla,Toñi Salazar,10,10.0,9,10,0,Francisco,0.0,58,9
1,3,Escándalo de Raphael,Santiago Segura,12,12.0,12,12,0,Francisco,0.0,56,8
1,3,Las flechas del amor de Karina,Carolina Ferre,8,7.0,10,8,0,Francisco,0.0,45,12
1,3,Only Girl (In the World) de Rihanna,Angy,9,9.0,5,7,0,Julio,0.0,36,6
1,3,It's My Life de Jon Bon Jovi (Bon Jovi),"Julio Iglesias, Jr.",5,5.0,6,6,0,Francisco,0.0,32,5
1,3,Loca de Shakira,Sylvia Pantoja,7,8.0,4,5,0,Toñi,0.0,31,7
1,3,Imagine de John Lennon,Josema Yuste,4,4.0,8,4,0,Francisco,0.0,24,4
1,4,Girls Just Want to Have Fun de Cyndi Lauper,Angy,12,9.0,10,10,0,Carolina,0.0,59,8
1,4,Bomba de King África,Carolina Ferre,8,8.0,12,9,0,Angy,0.0,57,10
1,4,Esta cobardía de Chiquetete,Sylvia Pantoja,10,10.0,9,8,0,Julio,0.0,49,12
1,4,"No Woman, No Cry de Bob Marley","Julio Iglesias, Jr.",9,12.0,8,6,0,Angy,0.0,47,7
1,4,No hago otra cosa que pensar en ti de Joan Manuel Serrat,Josema Yuste,7,6.0,6,12,0,Santiago,0.0,40,4
1,4,Are You Lonesome Tonight? de Elvis Presley,Francisco,6,5.0,5,7,0,Santiago,0.0,32,9
1,4,I've Got You Under My Skin de Frank Sinatra,Santiago Segura,4,4.0,4,4,0,Josema,0.0,31,5
1,4,A quién le importa de Alaska (Alaska y Dinarama),Toñi Salazar,5,7.0,7,5,0,Carolina,0.0,30,6
1,5,Se acabó de María Jiménez,Toñi Salazar,10,10.0,12,12,0,Sylvia,0.0,57,8
1,5,I Wanna Be Loved By You de Marilyn Monroe (Con faldas y a lo loco),Sylvia Pantoja,8,7.0,7,6,0,Toñi,0.0,47,9
1,5,(I Can't Get No) Satisfaction de Mick Jagger (The Rolling Stones),"Julio Iglesias, Jr.",12,9.0,10,5,0,Carolina,0.0,46,10
1,5,Dile de Luis Aguilé,Josema Yuste,9,8.0,9,8,0,Carolina,0.0,44,5
